STATE,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,CATEGORIA_TUR,ESTIMATED_POP,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
16,5572,5572,1559,538,1021,2393,35,160,227,239,1509,223,5859,8976,0.498,-41.4554,-3.6061,137.7827,116,19,324.863,0,6140,3,3404,1380,8951,24785,38520,1609,40129,6042,6642.0,1,32,0,0,0,0,1,26,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,311,474,0,0,0,0,1
10,1727,1727,563,306,257,949,7,61,67,75,571,168,98,674,0.673,-45.9223,-22.5505,1025.3448,46,40,89.122,5,1782,3,9113,1036,5528,10169,25845,603,26448,1807,14636.0,1,22,1,0,6,0,0,6,1,1,0,0,2,4,1,0,0,0,0,0,0,0,0,0,303,145,0,0,0,0,1
4,4663,4663,1355,705,650,2269,29,137,173,214,1388,328,1133,5154,0.577,-41.0463,-13.7555,313.0501,17,89,977.455,0,4086,3,7295,1763,8946,15323,33327,1202,34529,4312,8008.0,1,32,0,0,1,0,1,20,3,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,256,430,0,0,0,0,1
19,5405,5405,1575,714,861,2273,33,137,179,224,1329,371,838,4053,0.587,-36.2148,-6.3834,579.0767,63,30,185.748,5,5508,3,2423,1926,7631,28091,40070,1128,41198,5590,7370.0,1,22,0,0,0,0,0,15,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,436,508,0,0,0,0,1
14,1771,1771,588,268,320,782,13,41,58,43,486,141,110,75,0.641,-36.6048,-7.6288,468.6118,11,30,169.878,0,1907,3,1457,875,3737,11623,17692,631,18323,1909,9598.0,1,26,2,0,1,0,1,9,0,1,0,0,1,4,0,0,0,7,0,0,0,0,0,0,102,174,0,0,0,0,1
26,1564,1564,490,265,225,869,16,53,94,98,534,74,7382,23963,0.644,-48.9155,-11.1043,239.5122,29,75,986.693,0,1708,3,16813,936,6350,13452,37552,1652,39204,1694,23143.0,1,8,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,147,140,0,0,0,0,1
14,6202,6202,1732,607,1125,2069,33,114,156,207,1271,288,1642,18134,0.524,-35.2528,-6.9142,75.9627,72,47,108.448,0,6349,3,9282,1611,10478,29687,51058,1489,52546,6349,8276.0,1,40,2,0,0,0,0,26,3,0,0,0,1,3,1,0,0,4,0,0,0,0,0,0,448,765,0,0,0,0,1
24,3813,3813,1171,704,467,2271,37,132,190,237,1412,263,1961,5680,0.604,-37.1879,-10.357,200.1191,38,38,128.393,0,3977,3,6039,1522,8292,20842,36694,1569,38264,3999,9568.0,1,22,0,0,0,0,0,10,4,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,333,534,0,0,0,0,1
16,4869,4869,1176,363,813,1372,27,104,149,165,813,114,2680,3434,0.527,-40.9011,-7.8308,402.7855,7,25,755.251,0,5316,3,2304,1120,5807,21425,30655,2309,32965,5152,6398.0,1,16,0,0,0,0,1,8,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,117,267,0,0,0,0,1
16,4183,4183,1104,358,746,1326,25,104,129,147,786,135,845,422,0.555,-42.8322,-5.6205,168.1409,53,19,345.848,0,4425,3,1728,762,3921,16940,23351,683,24034,4353,5521.0,1,17,0,0,0,0,1,11,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,55,246,0,0,0,0,1
10,3127,3127,998,655,343,2034,32,114,176,176,1229,307,497,1262,0.632,-42.4001,-19.8348,360.5742,40,62,205.385,4,2814,3,9781,1328,7797,14946,33852,960,34813,3000,11604.0,1,33,0,0,1,0,1,23,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,320,477,0,0,0,0,1
